1,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
2,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
3,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
4,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
5,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
6,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
7,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
8,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
9,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
10,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
11,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
12,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
13,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
14,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
15,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
16,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
17,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
18,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
19,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
20,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
21,test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28
